experiment_id,mechanism,missing_pct,imputation_method,ga_state,seed,n_train,n_test,n_features,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,source_file
MNAR_20_MEAN_NOGA_RF_SEED2026,MNAR,20,mean,NOGA,2026,239,60,12,0.8833333333333333,0.875,0.7368421052631579,0.8,0.9043645699614892,results/metrics/e1_e2_e3_multiseed.csv
MNAR_20_MEDIAN_NOGA_RF_SEED2026,MNAR,20,median,NOGA,2026,239,60,12,0.85,0.8125,0.6842105263157895,0.7428571428571429,0.9088575096277278,results/metrics/e1_e2_e3_multiseed.csv
MNAR_20_KNN_NOGA_RF_SEED2026,MNAR,20,knn,NOGA,2026,239,60,12,0.85,0.8125,0.6842105263157895,0.7428571428571429,0.8960205391527599,results/metrics/e1_e2_e3_multiseed.csv
MNAR_20_ITERATIVE_NOGA_RF_SEED2026,MNAR,20,iterative,NOGA,2026,239,60,12,0.8666666666666667,0.8666666666666667,0.6842105263157895,0.7647058823529411,0.9017971758664954,results/metrics/e1_e2_e3_multiseed.csv
MNAR_30_MEAN_NOGA_RF_SEED2026,MNAR,30,mean,NOGA,2026,239,60,12,0.85,0.8125,0.6842105263157895,0.7428571428571429,0.9069319640564826,results/metrics/e1_e2_e3_multiseed.csv
MNAR_30_MEDIAN_NOGA_RF_SEED2026,MNAR,30,median,NOGA,2026,239,60,12,0.8333333333333334,0.7647058823529411,0.6842105263157895,0.7222222222222222,0.8671373555840821,results/metrics/e1_e2_e3_multiseed.csv
MNAR_30_KNN_NOGA_RF_SEED2026,MNAR,30,knn,NOGA,2026,239,60,12,0.85,0.8125,0.6842105263157895,0.7428571428571429,0.8510911424903722,results/metrics/e1_e2_e3_multiseed.csv
MNAR_30_ITERATIVE_NOGA_RF_SEED2026,MNAR,30,iterative,NOGA,2026,239,60,12,0.8166666666666667,0.75,0.631578947368421,0.6857142857142857,0.8818998716302953,results/metrics/e1_e2_e3_multiseed.csv
MCAR_10_MEAN_NOGA_RF_SEED7,MCAR,10,mean,NOGA,7,239,60,12,0.8333333333333334,0.68,0.8947368421052632,0.7727272727272727,0.9210526315789476,results/metrics/e1_e2_e3_multiseed.csv
MCAR_10_MEDIAN_NOGA_RF_SEED7,MCAR,10,median,NOGA,7,239,60,12,0.8333333333333334,0.6956521739130435,0.8421052631578947,0.7619047619047619,0.9152759948652118,results/metrics/e1_e2_e3_multiseed.csv
MCAR_10_KNN_NOGA_RF_SEED7,MCAR,10,knn,NOGA,7,239,60,12,0.8333333333333334,0.68,0.8947368421052632,0.7727272727272727,0.9165596919127086,results/metrics/e1_e2_e3_multiseed.csv
MCAR_10_ITERATIVE_NOGA_RF_SEED7,MCAR,10,iterative,NOGA,7,239,60,12,0.85,0.6923076923076923,0.9473684210526316,0.8,0.919127086007702,results/metrics/e1_e2_e3_multiseed.csv
MCAR_20_MEAN_NOGA_RF_SEED7,MCAR,20,mean,NOGA,7,239,60,12,0.8666666666666667,0.72,0.9473684210526316,0.8181818181818182,0.8998716302952503,results/metrics/e1_e2_e3_multiseed.csv
MCAR_20_MEDIAN_NOGA_RF_SEED7,MCAR,20,median,NOGA,7,239,60,12,0.8333333333333334,0.68,0.8947368421052632,0.7727272727272727,0.9011553273427472,results/metrics/e1_e2_e3_multiseed.csv
MCAR_20_KNN_NOGA_RF_SEED7,MCAR,20,knn,NOGA,7,239,60,12,0.8666666666666667,0.7391304347826086,0.8947368421052632,0.8095238095238095,0.8786906290115531,results/metrics/e1_e2_e3_multiseed.csv
MCAR_20_ITERATIVE_NOGA_RF_SEED7,MCAR,20,iterative,NOGA,7,239,60,12,0.8166666666666667,0.6538461538461539,0.8947368421052632,0.7555555555555555,0.8793324775353016,results/metrics/e1_e2_e3_multiseed.csv
MCAR_30_MEAN_NOGA_RF_SEED7,MCAR,30,mean,NOGA,7,239,60,12,0.7666666666666667,0.6190476190476191,0.6842105263157895,0.65,0.8427471116816431,results/metrics/e1_e2_e3_multiseed.csv
MCAR_30_MEDIAN_NOGA_RF_SEED7,MCAR,30,median,NOGA,7,239,60,12,0.8,0.6666666666666666,0.7368421052631579,0.7,0.8498074454428755,results/metrics/e1_e2_e3_multiseed.csv
MCAR_30_KNN_NOGA_RF_SEED7,MCAR,30,knn,NOGA,7,239,60,12,0.8,0.6521739130434783,0.7894736842105263,0.7142857142857143,0.8626444159178432,results/metrics/e1_e2_e3_multiseed.csv
